speed,acc,angle/100
414.73,8.59751,0.00287667
519.833,8.3461,0.00185743
533.039,8.67555,0.00182291
559.613,8.75066,0.00155405
560.321,8.89061,0.00159729
599.989,8.86789,0.00140528
600.333,8.90943,0.00150181
634.029,8.89575,0.00135724
654.384,8.86431,0.00139203
660.181,8.45845,0.00141556
689.488,8.64517,0.00138266
758.102,8.4876,0.001384
777.846,8.98574,0.00114329
793.844,8.7875,0.00124702
812.365,8.69328,0.00131059
839.138,8.86878,0.00112991
857.84,8.99447,0.00100596
874.226,9.03691,0.000988742
890.657,9.05192,0.000989335
319.989,8.49011,0.00454004
320.348,8.67005,0.004109
355.066,8.78891,0.00293313
374.185,8.97302,0.0022879
382.88,8.81692,0.00284921
411.3,8.78618,0.00220239
436.823,8.76682,0.00205016
440.539,8.74628,0.00192688
478.804,8.84641,0.00191269
497.731,8.82594,0.00183393
509.924,8.87041,0.00166752
530.034,8.93023,0.00145169
543.355,8.88364,0.00158789
565.672,8.88493,0.00128335
595.751,8.97552,0.00133718
616.564,8.80187,0.00139108
639.96,8.99064,0.00122543
656.707,9.04881,0.00126478
662.66,9.02888,0.00136626
680.161,8.61126,0.00146064
718.833,8.63148,0.001476
728.672,8.92786,0.00127307
740.537,8.27596,0.00150517
764.079,8.92581,0.00116522
789.751,9.04043,0.0011356
804.894,9.05988,0.00109498
834.425,8.16398,0.0014305
879.427,8.14367,0.00140355
890.829,8.20634,0.00126735
311.933,8.59242,0.00324198
321.759,8.57262,0.00329745
356.309,8.79399,0.00275963
366.489,8.83689,0.00268354
395.991,8.81124,0.00244927
419.691,8.67353,0.00203642
420.017,8.62515,0.00217826
459.752,8.33382,0.00227942
467.324,8.82584,0.00164893
495.892,8.67371,0.00191957
517.411,8.68764,0.00169706
528.025,8.7283,0.00174179
557.735,8.80008,0.001608
579.548,8.89187,0.00197944
592.185,8.9599,0.00154311
611.678,9.39951,0.00128466
635.958,9.01998,0.00109205
650.568,8.9828,0.00149293
666.17,8.97897,0.00131873
688.797,8.79974,0.00131782
702.01,8.76437,0.00141886
739.551,8.85481,0.00121937
745.445,9.01065,0.00102521
766.858,9.05532,0.00108527
800.717,8.94339,0.00151411
801.559,8.943,0.00152036
316.485,8.45292,0.00349158
577.761,8.40736,0.00190018
595.868,8.59059,0.00154438
613.15,8.60202,0.00173282
637.668,8.65345,0.00165555
640.965,8.52069,0.00154132
666.876,8.45884,0.00170059
684.397,8.36607,0.00159815
713.224,8.64606,0.00151362
724.446,8.7796,0.00160526
755.942,8.93737,0.00138131
765.968,9.10543,0.000989874
804.355,8.98976,0.00106096
839.977,8.09735,0.00144267
849.059,9.0269,0.000991326
319.99,8.68079,0.00330197
338.074,8.78064,0.00298115
348.489,8.61106,0.00284775
372.363,8.68295,0.00275371
393.248,8.82292,0.00224695
413.204,8.78809,0.00209168
426.55,8.83275,0.00201509
454.611,8.76608,0.00203322
498.618,8.46873,0.00195193
514.84,8.8824,0.00182173
557.502,8.33681,0.00184247
579.527,8.72206,0.00162125
597.439,8.79648,0.00151263
613.029,8.79699,0.00152702
621.823,8.77665,0.00148077
640.63,8.6184,0.00156531
678.493,8.94015,0.00124608
681.967,9.05514,0.00127346
701.517,8.32897,0.00160062
759.875,8.93616,0.00104914
771.721,9.00934,0.00108649
786.972,9.07189,0.00125518
803.095,8.83948,0.0011358
827.494,8.83659,0.0012332
842.603,8.72601,0.00125002
860.011,8.41144,0.00147879
326.701,8.74721,0.00298169
345.821,8.7699,0.00243187
370.071,8.67492,0.00246838
388.818,8.77815,0.00251981
403.06,8.88054,0.0023444
438.097,8.57088,0.00245459
440.813,8.90653,0.00186632
479.695,8.93414,0.00191752
480.745,9.05844,0.00186299
505.738,8.94936,0.00150988
532.305,9.04419,0.00137205
541.021,9.01219,0.00147159
560.453,8.97425,0.00151292
581.432,8.83745,0.00161438
600.468,8.77581,0.00141064
639.03,9.02345,0.00153161
654.671,9.10623,0.0013743
660.262,9.13636,0.0013074
693.292,9.04649,0.00135301
705.206,8.9776,0.00129206
738.931,9.06231,0.00119215
740.284,9.02725,0.00100971
763.445,8.8187,0.00115785
799.175,9.09748,0.00103776
802.967,8.91435,0.00127471
839.275,8.62661,0.00130176
858.109,8.74349,0.00113761
879.507,8.80532,0.00105131
888.349,8.79975,0.00112247
319.5,8.75186,0.00392468
320.202,8.90844,0.00305587
340.81,8.46994,0.00392119
379.287,8.59423,0.00229349
380.653,8.75846,0.0025064
418.954,8.71357,0.00221406
427.801,8.95592,0.00213794
458.022,8.84164,0.0018838
463.153,8.89943,0.0017502
488.991,8.99538,0.00138344
519.835,8.98318,0.00170173
520.179,9.00732,0.00174038
545.982,8.99646,0.00147836
571.97,9.01782,0.00143958
599.015,8.8114,0.001476
600.405,8.87953,0.00150386
634.321,8.87127,0.00125062
654.486,8.88664,0.00142507
666.782,8.90006,0.00142774
680.073,8.8221,0.00139746
700.34,8.49326,0.00141559
720.955,8.53196,0.00155715
749.628,8.72352,0.00128902
778.727,8.42403,0.00145389
