01 speed,00 accel,00 angle *1000
404.765,5.45093,4.24562
409.847,5.55196,4.92597
418.125,5.68091,6.33927
426.76,5.82443,5.76518
435.51,6.01159,5.15875
437.381,6.0682,5.32024
439.523,5.86359,6.06587
454.095,6.2016,6.11928
456.227,6.30263,5.78806
459.458,6.3225,5.33443
461.111,6.45527,5.36174
468.063,6.5089,4.39375
472.054,6.55767,3.59382
473.984,6.61583,6.23311
489.852,6.83513,5.09693
497.085,6.80122,5.97002
498.361,6.97772,4.9017
500.73,6.86831,4.75078
506.339,7.03209,3.84169
516.257,7.12227,4.29454
519.021,6.95599,4.42407
519.61,7.12521,4.53675
520.391,6.63074,4.3015
520.84,7.17587,4.56614
523.275,7.05949,4.45419
531.984,7.25217,4.32878
536.365,7.17307,4.17542
540.018,6.65049,4.48677
551.612,7.33822,3.93723
556.632,7.39827,4.2422
559.182,6.9917,6.81193
560.143,7.36086,4.59678
571.719,7.3973,4.38012
575.439,7.43551,3.63522
579.583,6.63139,3.91794
579.599,7.25674,3.76033
582.15,7.51987,3.77575
587.944,7.54414,4.01902
590.483,7.47172,4.32881
598.122,7.64283,3.82296
598.703,7.35596,3.91031
600.084,6.79325,3.97147
602.503,7.34381,3.91842
603.057,7.34846,3.89183
618.194,7.70562,3.80265
619.439,7.4738,3.72037
626.757,7.70978,3.43824
632.495,7.63317,3.71184
634.376,7.75824,3.43415
634.654,7.16624,3.73969
639.03,7.75109,3.38027
640.127,7.5599,3.71231
640.789,7.08976,3.75988
647.031,7.89015,3.72839
648.341,7.77403,2.89856
652.161,7.83753,3.71609
668.56,7.55993,5.75238
677.379,7.69223,3.48145
677.813,7.82493,3.40923
678.461,7.81125,2.61322
679.752,7.16488,3.35958
685.877,7.90253,4.54851
688.922,8.00167,3.43984
692.787,7.9783,3.82136
697.591,7.76883,3.33643
699.815,7.78855,3.28384
701.917,8.03865,3.34646
709.002,7.86687,3.29667
709.945,7.95144,3.29241
714.298,8.01259,3.26017
714.928,8.08509,3.68084
720.282,7.77842,3.32323
720.471,7.81439,3.2876
720.812,7.8932,3.29241
722.809,8.0262,2.98526
734.719,8.10526,3.15023
740.63,7.50931,3.29722
744.224,8.0439,3.60259
757.195,8.08334,2.21373
759.9,7.78297,2.78906
759.926,8.02949,2.92996
763.647,8.09669,2.53254
764.062,8.20498,2.76753
774.154,8.1825,3.18706
774.175,8.20736,3.04441
779.923,7.84006,2.88398
789.133,8.31256,2.86807
791.783,8.34758,2.86742
795.719,8.28539,3.10259
797.131,8.28032,3.24462
799.573,8.26895,2.88885
801.706,8.27005,2.90886
802.122,8.16315,3.23088
803.883,8.27887,3.10259
818.916,8.19847,2.7682
819.644,8.34733,2.85762
821.646,8.40315,2.85762
822.995,8.32443,2.02634
824.713,8.33284,2.73961
836.438,8.43169,2.68036
839.612,7.92351,2.79979
843.07,8.43085,2.7846
849.07,8.38435,2.91913
857.239,8.4748,2.77389
858.787,8.42538,2.50807
859.653,8.38728,2.60309
860.203,8.09842,2.49124
860.941,8.32124,2.75735
861.108,8.45962,2.58481
874.736,8.49134,2.44346
883.479,8.08194,2.67511
887.258,8.50405,2.39401
888.415,8.53001,2.93413
897.516,8.55245,2.63455
899.669,8.53377,2.49757
901.17,8.48061,2.64135
901.875,8.57238,2.49757
904.065,8.5268,2.39985
907.907,7.74268,2.66986
920.144,8.57606,2.87844
925.842,8.59915,2.40647
929.822,8.62561,2.32468
939.839,8.23412,2.37558
942.658,8.62067,2.71946
942.717,8.6433,2.4792
952.221,8.6993,2.44273
955.923,8.71128,2.39401
959.991,7.87354,2.38653
960.39,8.63785,2.4492
962.79,8.69199,2.33671
969.559,8.45433,2.45475
976.174,8.34312,2.38148
977.116,8.73672,2.39985
980.631,8.27059,2.43045
980.861,8.73668,2.38215
980.902,8.42563,2.43045
992.035,8.36553,2.40063
998.877,8.53239,2.32602
