01 speed,00 accel,00 angle *1000
431.066,6.07098,5.40615
433.879,5.99388,5.75697
434.367,6.01833,6.05204
451.098,6.1917,6.62045
456.183,6.37888,5.51888
456.902,6.49607,4.28642
459.207,6.27192,5.03902
459.273,6.11389,5.30368
460.541,6.45411,5.16966
460.688,6.1018,5.30899
462.526,6.26313,4.6328
462.745,6.41997,4.68818
473.041,6.52281,6.79162
479.492,6.49422,4.10239
479.663,6.53116,5.04496
480.189,6.05713,4.02736
484.136,6.63784,5.85491
485.394,6.77062,4.46051
496.148,6.83068,5.41226
496.867,6.63706,6.83006
507.217,6.90331,5.2032
512.608,7.08327,4.44431
514.433,7.00086,5.71103
517.862,7.06659,4.81369
518.019,7.08752,4.64331
518.038,7.10878,4.29127
518.064,7.13729,4.25958
520.057,6.69862,4.2637
520.439,6.75355,4.24593
522.139,7.15384,4.30518
531.468,7.21028,4.44707
536.948,6.73756,5.41489
537.12,7.10853,5.10723
539.728,7.11459,5.45237
539.989,7.24365,4.23556
540.024,6.94734,4.44351
546.128,7.27175,4.40375
550.291,7.31307,3.91122
556.149,7.3339,5.06555
557.321,7.331,4.2285
559.325,7.27656,5.55387
559.49,6.97063,4.99744
559.576,6.74727,4.28757
560.424,7.15807,4.56419
560.483,7.24681,4.23929
560.71,7.1752,5.55655
563.672,7.37778,3.74017
564.526,7.34625,4.28469
564.608,7.34326,4.86572
576.741,7.42994,4.23887
589.384,6.77712,4.50483
591.694,7.48136,3.66798
593.171,7.48783,4.27129
594.588,7.48038,4.59125
597.005,7.01253,4.41241
599.623,7.43898,3.77153
603.625,7.62006,5.81449
605.742,7.53659,3.26445
609.678,7.40662,5.81221
610.773,7.62144,3.71655
617.084,7.5649,4.67261
619.47,7.2166,3.76033
619.878,7.41206,3.70805
623.929,7.6367,3.31955
626.397,7.6809,3.82251
628.39,7.70929,4.23845
632.753,7.69091,3.34173
638.283,7.75615,3.70805
639.611,7.06451,3.63082
641.452,7.09286,3.71557
644.546,7.72718,3.91433
645.64,7.73866,3.26935
655.715,7.76833,3.33016
658.204,7.78752,3.76361
660.201,7.64924,3.7556
661.848,7.68938,2.71946
665.257,7.75652,3.2107
678.325,7.91381,3.51065
679.486,7.86495,3.24231
679.836,7.91223,1.87662
680.04,7.57788,1.57747
680.366,7.86112,3.49809
680.85,7.91031,3.23309
691.771,7.9517,3.45509
698.101,7.43127,3.64182
699.344,7.74666,3.29722
699.678,7.83699,3.28757
700.574,7.23911,3.49407
701.635,7.96416,2.68173
707.468,7.84986,3.31476
712.646,7.97791,3.2876
713.089,8.00676,2.53254
718.041,7.40004,4.28147
718.046,7.39897,3.21121
720.209,7.90341,3.29238
720.303,7.72486,3.31901
728.895,7.9078,3.89079
734.25,8.10444,3.23744
739.05,7.66777,3.84547
739.796,8.1193,3.37408
739.907,7.54952,3.20135
740.286,7.15025,3.34173
740.483,7.95356,3.24234
741.021,7.45037,3.27363
741.024,8.23472,3.36627
750.661,7.981,3.33405
758.023,8.16447,3.13082
759.498,7.60334,3.03841
759.878,8.00272,3.25355
760.391,7.79102,3.16823
763.403,8.2062,3.24886
772.51,8.07968,3.01518
776.213,8.1656,3.03901
777.061,7.9421,3.01923
778.391,7.79589,5.85135
778.484,8.18618,2.77327
780.381,8.05424,3.04418
782.28,8.05115,3.014
787.181,8.16104,1.49756
797.779,8.26557,2.75795
799.937,8.27835,2.85758
800.805,8.13185,2.86252
806.361,7.82895,3.30198
809.845,8.26998,3.09395
818.306,8.35018,2.89918
818.365,8.27233,2.84775
819.412,7.77074,2.82167
819.514,8.04301,2.76246
819.8,8.18385,2.65861
833.312,8.33528,2.54952
834.567,8.08699,2.81603
835.124,8.38722,2.75672
835.243,8.09227,2.79475
839.845,8.37304,2.56771
839.982,8.37052,2.82167
842.151,8.38541,2.81043
845.78,8.45869,2.91941
852.28,8.42388,2.60785
852.607,8.33921,3.71972
853.372,8.08195,2.75161
859.443,8.42255,2.77834
859.962,8.34933,2.76246
860.171,8.43363,2.77834
861.396,8.46646,2.72578
861.42,8.46237,2.75799
867.892,8.40618,2.55184
871.268,8.29851,2.85232
880.436,8.15065,3.01665
880.811,8.13367,2.70844
881.635,8.27247,2.72518
882.24,8.42457,3.22437
882.627,8.54375,2.4492
887.987,8.46633,2.77327
892.814,8.48898,2.44993
900.328,7.96667,2.77889
901.554,7.93008,2.64732
909.669,8.49846,2.68863
915.882,8.54054,2.46776
917.783,8.49475,2.18567
919.587,8.61326,2.48533
922.486,8.53607,2.53117
924.022,8.40676,2.23227
936.367,8.61869,2.47275
939.228,8.51645,2.66573
939.526,8.46539,2.70502
940.078,8.59966,2.49124
944.216,8.61967,2.16514
955.146,8.50821,2.70259
955.548,8.66963,2.51606
956.796,8.72816,2.85131
959.32,8.10642,2.38148
959.738,8.6462,2.44993
960.418,8.19657,2.91913
960.721,8.55267,2.44346
960.769,8.66308,2.35027
962.082,8.66634,2.44993
965.519,8.41675,2.43699
975.087,8.63313,2.18015
978.721,8.43921,2.38148
979.285,8.07643,2.39395
980.28,8.39877,2.46142
980.511,8.42366,2.4304
980.688,8.31445,2.44988
985.275,8.45055,2.38739
992.2,8.62586,1.85682
994.064,8.21364,2.38733
998.648,8.12423,2.17842
998.909,8.62813,2.30027
